orgpin,accountid,description,glrollup,lineitem,predv07
2992,48397,ABI BLOSSOM SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48410,COBRE-THAKALI PILOT SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48534,DIETARY SOY PROTEINS SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48857,TEAM-ED FEB19 SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,48940,L JAMES GENERAL SALARIES - CONTRACT,SALARIES - CONTRACT,Salaries,Contract Labor
2992,52732,Child Enrichment-Salaries-Salaries - Agency,SALARIES - AGENCY,Salaries,Contract Labor
2992,65243,Human Resources-Salaries-Salaries - Agency OT,,Salaries,Contract Labor
2992,65753,Overhead Expense-Salaries - Contract,ISG,Salaries,Contract Labor
2995,7230,Contract Labor-Clin-IC,Contract Labor Clini,Salaries,Contract Labor
2995,7234,Contrct Labor-Other,Contract Labor Other,Salaries,Contract Labor
2995,10286,Contract Labor-Intercompany,Contract Labor Other,Salaries,Contract Labor
2727,19767,Contract Labor-Physician,Salaries and Wages,Salaries,Contract Labor
2727,19771,Contract Labor-Staff,Salaries and Wages,Salaries,Contract Labor
1178,12962,Contractual Adjustments,Current Assets,Accounts Receivable - Contractual Allowance,Contractual Allowances
1170,250,INCTV-Medicaid Qtrly Interim Physician Pmt,LEGACY CONTRACTUAL ALLOWANCES A-R,Accounts Receivable - Contractual Allowance,Contractual Allowances
1178,14242,Contractual Adjustments-Epic-HB,Current Assets,Accounts Receivable - Contractual Allowance,Contractual Allowances
1178,14251,Contractual Adjustments-Other (Non-System),,Accounts Receivable - Contractual Allowance,Contractual Allowances
1178,15208,Contractual Adjustments-ABEO,Current Assets,Accounts Receivable - Contractual Allowance,Contractual Allowances
1305,2879,Medicaid Allowances,MEDICAID,Accounts Receivable - Contractual Allowance,Contractual Allowances
1747,14011,CONTRACTUAL ALLOWANCES / AU MEDICAL CENTER,,Accounts Receivable - Contractual Allowance,Contractual Allowances
1885,11746,Allow - Medicare,Contractual allowances,Accounts Receivable - Contractual Allowance,Contractual Allowances
1885,11747,Allow - Medicaid,Contractual allowances,Accounts Receivable - Contractual Allowance,Contractual Allowances
1885,11748,Allow - Other,Contractual allowances,Accounts Receivable - Contractual Allowance,Contractual Allowances
1885,12344,Allow - Medicare DG,Contractual allowances,Accounts Receivable - Contractual Allowance,Contractual Allowances
1885,12357,Allow - Medicaid DG,Contractual allowances,Accounts Receivable - Contractual Allowance,Contractual Allowances
1885,12358,Allow - Medicare Advantage,Contractual allowances,Accounts Receivable - Contractual Allowance,Contractual Allowances
1885,12359,Allow - Medicaid Mgd Care,Contractual allowances,Accounts Receivable - Contractual Allowance,Contractual Allowances
1975,529,DRG ALLOWANCE MEDICAID,Contractuals,Accounts Receivable - Contractual Allowance,Contractual Allowances
1975,12188,EPIC CLEARING - ALLOWANCES,Contractuals,Accounts Receivable - Contractual Allowance,Contractual Allowances
1975,13052,OBS OTHER ALLOW - MEDICARE,Contractuals,Accounts Receivable - Contractual Allowance,Contractual Allowances
1975,17386,BAD DEBT OBS DENIALS - AUTO,Contractuals,Accounts Receivable - Contractual Allowance,Contractual Allowances
1975,19106,OBS OTHER ALLOW - MEDICARE ADVANTAGE,Contractuals,Accounts Receivable - Contractual Allowance,Contractual Allowances
1975,19131,BAD DEBT OP OTHER ALLOW - MEDICAID MC,Contractuals,Accounts Receivable - Contractual Allowance,Contractual Allowances
1975,19141,BAD DEBT OP OTHER ALLOW - COMMERCIAL-HMO,Contractuals,Accounts Receivable - Contractual Allowance,Contractual Allowances
2719,1105,RAC WRITE OFFS,,Accounts Receivable - Contractual Allowance,Contractual Allowances
2719,1107,OP MEDICARE ALLOWANCE,,Accounts Receivable - Contractual Allowance,Contractual Allowances
2719,1113,IP OTHER ALLOWANCE,,Accounts Receivable - Contractual Allowance,Contractual Allowances
2719,1114,OP OTHER ALLOWANCE,,Accounts Receivable - Contractual Allowance,Contractual Allowances
2719,1144,OP MEDICARE ALLOWANCE,,Accounts Receivable - Contractual Allowance,Contractual Allowances
2719,1149,IP COMM ALLOWANCE,,Accounts Receivable - Contractual Allowance,Contractual Allowances
2950,2225,Allow - Miss Medicaid,Patient Acct Receivable Net,Accounts Receivable - Contractual Allowance,Contractual Allowances
2950,3505,Allow-OHP Self Funded,Patient Acct Receivable Net,Accounts Receivable - Contractual Allowance,Contractual Allowances
2973,835,OUTPATIENT CONTRACTUAL RESERVE,ACCOUNTS RECEIVABLE,Accounts Receivable - Contractual Allowance,Contractual Allowances
2980,761,CA HOSPICE,Contractual Allow - Hospice A-R,Accounts Receivable - Contractual Allowance,Contractual Allowances
2980,5408,CA-LONG TERM CARE,Contractual Allow - Long Term Care A-R,Accounts Receivable - Contractual Allowance,Contractual Allowances
3110,46,MEDICAID O/P CONTRACTUALS,A,Accounts Receivable - Contractual Allowance,Contractual Allowances
3111,26,ALLOW OTHER ADJUST-IP ACUTE,ALLOWANCES,Accounts Receivable - Contractual Allowance,Contractual Allowances
3117,42,CONTRACTUAL ADJ MEDICARE,CONTRACTUAL ALLOWANCE,Accounts Receivable - Contractual Allowance,Contractual Allowances
3117,43,CONTRACTUAL ADJ MEDICAID,CONTRACTUAL ALLOWANCE,Accounts Receivable - Contractual Allowance,Contractual Allowances
3117,46,CONTRACTUAL ADJ PPO,CONTRACTUAL ALLOWANCE,Accounts Receivable - Contractual Allowance,Contractual Allowances
3117,47,CONTRACTUAL ADJ OTHER,CONTRACTUAL ALLOWANCE,Accounts Receivable - Contractual Allowance,Contractual Allowances
3117,49,CONTRACTUAL ADJ RUL HLTH,CONTRACTUAL ALLOWANCE,Accounts Receivable - Contractual Allowance,Contractual Allowances
3121,2375,Cont Adj - General Accounting,(( LAWSON - DO NOT USE )),Accounts Receivable - Contractual Allowance,Contractual Allowances
3132,856,Suspense Other Contractual Adjustment,Other Assets,Accounts Receivable - Contractual Allowance,Contractual Allowances
3142,241,Allowance-Other Contr Adj,Patient Receivables,Accounts Receivable - Contractual Allowance,Contractual Allowances
3150,83,CONT-ADJ MCARE-TRADITIONAL OP,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
3150,96,CONT-ADJ HMO-PPO TRAD IP,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
3150,97,CONT-ADJ HMO-PPO TRAD OP,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
3159,2561,CONTRACTUAL ALLOWANCES,Contractual Allowances,Accounts Receivable - Contractual Allowance,Contractual Allowances
3169,78,ESTIMATED RATE ADJ USHC CONTRACT,ASSETS,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,139,DENIAL RESERVES,1190,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,155,MCARE CY LUMPSUM ADJ,1190,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,159,SEQUESTRATION,1190,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,160,UNCOMP CARE SETTLMNT,1190,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,164,IL DENIALS,1191,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,178,HMO-PPO I-P,1192,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,179,HMO-PPO O-P,1192,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,180,MCARE MGD CARE I-P,1192,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,181,MCARE MGD CARE O-P,1192,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,192,BCBS IP CONTRACTUAL,1193,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,193,BCBS OP CONTRACTUAL,1193,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,196,IP ACCR. CHGS-PMTS,1193,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,197,CHAMPUS I-P,1194,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,198,CHAMPUS O-P,1194,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,203,OTHER GOVT I-P,1194,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,204,OTHER GOVT O-P,1194,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,209,COMMERCIAL IP,1194,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,210,COMMERCIAL OP,1194,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,214,IP SP DISC PROGRAM,1194,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,2996,PRE-ACQ CONTR ALLOW,1105,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,3039,HHA CONTRACTUAL,1194,Accounts Receivable - Contractual Allowance,Contractual Allowances
3179,3041,SEPARATE AUDIT ADJ,1194,Accounts Receivable - Contractual Allowance,Contractual Allowances
3192,827,Contractuals,,Accounts Receivable - Contractual Allowance,Contractual Allowances
3196,31,A-R HMO-PPO CONTRACTUALS,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
3196,32,A-R COMMERCIAL CONTRACTUALS,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
3196,33,A-R PERSONAL PAY CONTRACTUALS,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
3196,34,A-R WORKERS COMP CONTRACTUALS,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
3196,36,A-R OTHER PAYORS CONTRACTUALS,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
1975,23408,911 EMERGENCY CA RESERVE,,Accounts Receivable - Contractual Allowance,Contractual Allowances
3214,6426,Outpatient Contractual Reserve,BALSH,Accounts Receivable - Contractual Allowance,Contractual Allowances
3214,6427,INPATIENT CONTRACTUAL RESERVE,BALSH,Accounts Receivable - Contractual Allowance,Contractual Allowances
3228,54,MEDICARE-CONTRACTUAL UNPAID,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
3228,56,MEDICAID CONTRACTUAL-UNPAID,Not Specified,Accounts Receivable - Contractual Allowance,Contractual Allowances
3210,1368,PROVISION CONTRACTUAL MEDICAID,Less: uncompensated care,Accounts Receivable - Contractual Allowance,Contractual Allowances
3202,2627,MEDICAID ADDITIONAL PROVISION,45600-ADDITIONAL PROVISION,Accounts Receivable - Contractual Allowance,Contractual Allowances
3218,2951,Contractual,NO,Accounts Receivable - Contractual Allowance,Contractual Allowances
3218,2991,CLOSED Radiation Oncology Contractual,NO,Accounts Receivable - Contractual Allowance,Contractual Allowances
3218,2997,Late Charges Contractual,NO,Accounts Receivable - Contractual Allowance,Contractual Allowances
3218,8,GDSC Contractual,NO,Accounts Receivable - Contractual Allowance,Contractual Allowances
2950,3843,AFCA-Hospital Champus,Patient Acct Receivable Net,Accounts Receivable - Contractual Allowance,Contractual Allowances
2950,3846,AFCA-Hospital Humana Sr,Patient Acct Receivable Net,Accounts Receivable - Contractual Allowance,Contractual Allowances
2950,3844,AFCA-Hospital Commercial,Patient Acct Receivable Net,Accounts Receivable - Contractual Allowance,Contractual Allowances
2950,3845,AFCA-Hospital Guarantor,Patient Acct Receivable Net,Accounts Receivable - Contractual Allowance,Contractual Allowances
2950,3507,AFCA-HMO-PPO-Other IP MC,Patient Acct Receivable Net,Accounts Receivable - Contractual Allowance,Contractual Allowances
3135,5749,CONTR ALLOWANCE HOSPICE,ALLOWANCES,Accounts Receivable - Contractual Allowance,Contractual Allowances
3135,5747,ACCRUED CONTRACTUAL - EPIC,ALLOWANCES,Accounts Receivable - Contractual Allowance,Contractual Allowances
3135,8996,CONTRACTUAL ALLOWANCE 1235,ALLOWANCES,Accounts Receivable - Contractual Allowance,Contractual Allowances
3135,8897,CONTRACTUAL ALLOWANCE-ADDNL,ALLOWANCES,Accounts Receivable - Contractual Allowance,Contractual Allowances
3135,5727,ACCRUED REV CONTRACTUALS,PATIENT A-R,Accounts Receivable - Contractual Allowance,Contractual Allowances
3135,5750,CONTRACTUAL ALLOWANCE,ALLOWANCES,Accounts Receivable - Contractual Allowance,Contractual Allowances
3135,9029,CONTRACTUAL ALLOWANCE,ALLOWANCES,Accounts Receivable - Contractual Allowance,Contractual Allowances
1170,3802,Intercompany Patient Accounts Receivable Contractual Allowan,Spectrum Financials,Accounts Receivable - Contractual Allowance,Contractual Allowances
2706,4045,Contributions-Donations,INDIRECT MARGIN,Other Expenses,Contributions
2990,460,I-C Contribution,EOICOTHMISC,Other Expenses,Contributions
3110,1504,CONTRIBUTIONS,E,Other Expenses,Contributions
3136,637,CONTRIBUTIONS,EXPENSE,Other Expenses,Contributions
3145,1151,Contributions,CONTRIBUTIONS AND SPONSORSHIPS,Other Expenses,Contributions
3150,881,GIFTS,Not Specified,Other Expenses,Contributions
3194,340,624506-O-M-Donations,,Other Expenses,Contributions
3126,2478,DONATIONS,Not Specified,Other Expenses,Contributions
2968,643,CONTRIBUTIONS,7060,Other Expenses,Contributions
3198,590,GIFTS,Not Specified,Other Expenses,Contributions
1246,12984,DONATIONS - IN KIND GIFTS,Other Operating Revenue,Other Operating Revenue,Contributions
1829,91,SVCS-MCV FOUNDATION TRANSERS,DONATIONS,Other Operating Revenue,Contributions
1911,5424,MEAL CONTRIBUTIONS,OTHER PATIENT REV,Other Operating Revenue,Contributions
2724,1865,Contributions-General,OTHER,Other Operating Revenue,Contributions
2724,1866,Contributions-Tribute Fund,OTHER,Other Operating Revenue,Contributions
2724,1867,Contributions-Amish Outreach,OTHER,Other Operating Revenue,Contributions
2724,1875,Contributions-Angel Auction,OTHER,Other Operating Revenue,Contributions
2992,943,OTHER SPEC PURP DONATIONS,SPEC PURP DONATIONS,Other Operating Revenue,Contributions
2995,6781,Contributions-Unrestrict Special,Foundation Contribut,Other Operating Revenue,Contributions
2995,6784,Contributions-Perm Rest,Foundation Contribut,Other Operating Revenue,Contributions
3118,1291,NON-CASH CONTRIBUTIONS REVENUE,REVENUE,Other Operating Revenue,Contributions
3133,1525,810793-CAPITAL CONTRIBUTION REVENUE,OTH OP REV,Other Operating Revenue,Contributions
3136,134,CONTRIBUTIONS,REVENUE,Other Operating Revenue,Contributions
3157,20260,CONTRI GIFTS and LEGACIES,Not Specified,Other Operating Revenue,Contributions
3157,20261,OTHER CONTRIBUTIONS,Not Specified,Other Operating Revenue,Contributions
3200,579,OTH REV-DONATIONS,Not Specified,Other Operating Revenue,Contributions
3220,1234,Unrestrict Contribution,Unrestricted Contribution,Other Operating Revenue,Contributions
3126,2764,GRANT CONTRIBUTION REVENUE,Not Specified,Other Operating Revenue,Contributions
3109,3590,DONATIONS GIFTS-IN-KIND,CONTRIBUTED REVENUE,Other Operating Revenue,Contributions
2980,517,CONTRIBUTIONS TR,Contributions TR,Temporarily Restricted Net Assets,Contributions
2980,3052,FED CAP CONTRIBUTION AUTHORZD,Contributions TR,Temporarily Restricted Net Assets,Contributions
2982,1398,Donation-Mobile Mammo,DONATIONS,Temporarily Restricted Net Assets,Contributions
3222,478,CAPITAL CONTRIBUTIONS,Not Specified,Temporarily Restricted Net Assets,Contributions
2956,1080,Contribution Income for Capital Items - Foundation Related,Foundaton Contributions,Unrestricted Net Assets,Contributions
2956,2796,Contributions Inc for Cap Items NON Fnd Related,Other Contributions and Grants,Unrestricted Net Assets,Contributions
2956,6751,Contribution - restricted fund - Capital,Other Contributions and Grants,Unrestricted Net Assets,Contributions
2956,8361,Contribution - restricted fund - Capital,Other Contributions and Grants,Unrestricted Net Assets,Contributions
2980,507,CONTRIBUTIONS,Contributions,Unrestricted Net Assets,Contributions
3150,796,CAP DONATION TO HOSPITAL,Not Specified,Unrestricted Net Assets,Contributions
3150,833,CONTRIBUTIONS FRM HMA,Not Specified,Unrestricted Net Assets,Contributions
3150,834,CONTRIBUTIONS TO HMA,Not Specified,Unrestricted Net Assets,Contributions
2988,18467,Gifts Endowment,,Unrestricted Net Assets,Contributions
1650,692,2003 INTEREST FUND,OTHER FUNDS,Cash and Cash Equivalents,Debt Agreements
1650,700,INVEST-BEQUEST,OTHER FUNDS,Cash and Cash Equivalents,Debt Agreements
1650,709,UNREAL GN-(LS)-SELF,OTHER FUNDS,Cash and Cash Equivalents,Debt Agreements
1650,3724,2011 A EXPENSE FUND,OTHER FUNDS,Cash and Cash Equivalents,Debt Agreements
1650,3725,2011 B EXPENSE FUND,OTHER FUNDS,Cash and Cash Equivalents,Debt Agreements
1650,3726,2011 C EXPENSE FUND,OTHER FUNDS,Cash and Cash Equivalents,Debt Agreements
1650,4018,UNREAL GAIN-(LOSS)-2006 BOND,OTHER FUNDS,Cash and Cash Equivalents,Debt Agreements
3179,370,MINOR EQUIPMENT,,Depreciable Assets,Equipment
3179,375,MINOR EQUIPMENT,,Depreciable Assets,Equipment
3179,379,MINOR EQUIPMENT,,Depreciable Assets,Equipment
3179,385,MINOR EQUIPMENT,,Depreciable Assets,Equipment
3179,489,MINOR EQUIPMENT,,Depreciable Assets,Equipment
3179,9792,MINOR EQUIPMENT,,Depreciable Assets,Equipment
3179,9807,MINOR EQUIPMENT,,Depreciable Assets,Equipment
3179,10020,MINOR EQUIPMENT,,Depreciable Assets,Equipment
3200,331,FURNITURE AND EQUIPMENT,Not Specified,Depreciable Assets,Equipment
1305,3112,CP-Equip Becker,EQUIPMENT,Property/Plant/Equipment,Equipment
1650,3289,EQUIP-PATIENT RENTALS,EQUIPMENT,Property/Plant/Equipment,Equipment
2962,571,MINOR EQUIPMENT,131000,Property/Plant/Equipment,Equipment
2980,687,RENTAL ITEMS,Equipment,Property/Plant/Equipment,Equipment
2992,23404,ADE GRANT MEDICAL INSTR-EQUIP,MEDICAL INSTR-EQUIP,Property/Plant/Equipment,Equipment
2992,23405,TRAUMA GRANT CONTRA FURNITURE-EQUIPMENT,FURNITURE-EQUIPMENT,Property/Plant/Equipment,Equipment
2992,23425,TRAUMA CENTER FURNITURE-EQUIPMENT,FURNITURE-EQUIPMENT,Property/Plant/Equipment,Equipment
2992,23427,TRANSPORT TRAUMA GRANT EQUIPMENT,FURNITURE-EQUIPMENT,Property/Plant/Equipment,Equipment
3157,19639,LEASED CAPITAL EQUIPMENT,Not Specified,Property/Plant/Equipment,Equipment
3157,19654,A-D LEASED CAPITAL EQUIP,Not Specified,Property/Plant/Equipment,Equipment
3179,399,MINOR EQ.-CAP. LEASE,1383,Property/Plant/Equipment,Equipment
1157,375,Blue Cross Settlement Rec,Third Party Withholdings,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
1178,13727,3rd Party Settlement-Third Party Settlements,,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
2719,984,MEDICARE/MEDICAID PAYABLE RAC MEDICARE ACCRUAL,,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
2951,8108,Estimated Third-Party Settlements - No Class,Assets,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
3112,3355,ESTIMTED THIRD PARTY PAYOR RECEIVABLE,ESTIMATED THIRD PARTY PAYOR RECEIVABLE,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
3169,72,EST O-P MEDICAID LIAB 2002,ASSETS,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
3188,2355,MCARE BD DEBT YE SETTLMNT,ESTIMATED THIRD PARTY RECEIVABLE,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
3188,2356,CHAMPUS YE SETTLEMENT,ESTIMATED THIRD PARTY RECEIVABLE,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
1975,23705,3RD PARTY MEDICAID POTENTIALLY PREVENTAB,,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
3214,4805,PIP-1990,BALSH,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
3119,5105,OTHER THIRD PARTY SETTLEMENTS - I-P,2_DUEFROMM-M,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
3105,6010,Ar Medicare Settlement,999 5DUE TO-,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
2968,1305,MEDICARE COST REPORT RECEIVABLE,1310,Accounts Receivable - Third Party Settlements,Estimated Third Party Payor Settlements
2980,906,RENT PROPERTY,Rent,Lease and Rental Income,Facilities - Rent
2980,2085,RENT GENOA MEDICAL OFFICE,Rent,Lease and Rental Income,Facilities - Rent
3196,1000,RENTAL CHHI GRND LEASE,Not Specified,Lease and Rental Income,Facilities - Rent
2968,320,RENT HOSPITAL FACILITIES,6010,Lease and Rental Income,Facilities - Rent
3230,32,BLDG RENT-INTERNAL,,Lease and Rental Income,Facilities - Rent
2993,2464,RENT AECOM,RENT,Other Operating Revenue,Facilities - Rent
3118,605,SUBLEASE BUILDING RENTAL REV,REVENUE,Other Operating Revenue,Facilities - Rent
3157,20733,RENTAL OF OFFICE SPACE,Not Specified,Other Operating Revenue,Facilities - Rent
3167,3043,Rental of Building,Revenue,Other Operating Revenue,Facilities - Rent
1829,1247,CUR PORTION OF EST MED MALPRACTICE,,Other Current Liabilities,Funds Held for Self-Insurance (Current Portion)
2982,837,Interest-Other Restricted,INTandDIVIDS,Interest,Interest and Dividend Income
2982,838,Interest-Boyd Scholarship,INTandDIVIDS,Interest,Interest and Dividend Income
2982,840,Interest-Dabney Scholarsp,INTandDIVIDS,Interest,Interest and Dividend Income
2982,841,Interest-Kraikit Scholarsp,INTandDIVIDS,Interest,Interest and Dividend Income
2982,842,Interest-Hester Scholarshp,INTandDIVIDS,Interest,Interest and Dividend Income
2982,869,Interest-Gen Endowment,INTandDIVIDS,Interest,Interest and Dividend Income
3179,2976,INTEREST INCOME,,Interest,Interest and Dividend Income
3192,201,Interest Inc - Swaps,Interest,Interest,Interest and Dividend Income
1192,4319,INTEREST INCOME- OPERATING,Dividends and Interest,Other Operating Revenue,Interest and Dividend Income
2706,4242,Operating Investment-Interest Income,INDIRECT MARGIN,Other Operating Revenue,Interest and Dividend Income
2724,1645,Loan Interest Income,OTHER,Other Operating Revenue,Interest and Dividend Income
2993,3337,INTEREST INCOME,OTHER REVENUE,Other Operating Revenue,Interest and Dividend Income
3104,91,Bond Interest Income 2009A,Other Operating Income,Other Operating Revenue,Interest and Dividend Income
3118,606,INTEREST INCOME,REVENUE,Other Operating Revenue,Interest and Dividend Income
3146,1386,PHO INTEREST,Revenue,Other Operating Revenue,Interest and Dividend Income
3228,1922,INT INC INSUR CO.,Not Specified,Other Operating Revenue,Interest and Dividend Income
1238,58,Inv Returns Suspense- System,Other receivables,Accounts Receivable - Other,Inventory
3210,701,INVENTORY - MISC,Other current assets,Accounts Receivable - Other,Inventory
3198,317,ITEM COST VARIANCE SUSPENSE,Not Specified,Other Current Assets,Inventory
3105,7757,Periodic Fifo Resp Care I,999 7ASSETS,Other Current Assets,Inventory
3105,15795,Periodic CORE1 RRMC,999 7ASSETS,Other Current Assets,Inventory
3110,1113,OBSOLETE INVENTORY,E,Other Expenses,Inventory
3118,695,EXPIRED INVENTORY,EXPENSE,Other Expenses,Inventory
3119,817,PROPERTY TAX - INVENTORY,2_OTHER,Other Expenses,Inventory
2717,4186,Inventory Maintenance,Other expenses,Other Expenses,Inventory
1238,467,Item Cost Variance Suspense,Medical Supplies,Supplies,Inventory
1284,5958,Inventory-Salvage,Medical Surgical Supplies,Supplies,Inventory
2949,1351,Inventory Posting Default,7030 Supplies other,Supplies,Inventory
2982,1011,Pharmacy Requisitions,MEDSUPPLDRUG,Supplies,Inventory
3118,693,INVENTORY COUNT VARIANCES,EXPENSE,Supplies,Inventory
3120,225,Inventory-Stores,Other Operating Expenses,Supplies,Inventory
3133,1667,740216-PHARMACY INVENTORY ADJS,PHARMACY,Supplies,Inventory
3145,1172,General Instrumentation,GENERAL INVENTORY COSTS,Supplies,Inventory
3145,1173,Orthopedic Instrumentation,GENERAL INVENTORY COSTS,Supplies,Inventory
3145,1174,Neurosurgery Instrumentation,GENERAL INVENTORY COSTS,Supplies,Inventory
3146,1427,INVENTORY OVER-UNDERAGES,Expense,Supplies,Inventory
3173,867,Inventory - Return Suspense,Supplies,Supplies,Inventory
3173,868,Inventory - Inspection Hold Suspense,Supplies,Supplies,Inventory
3184,1822,CARDIOLOGY INVENTORY-SUPPLIES,,Supplies,Inventory
3113,70177,RIU PHARMACY -- INVENTORY VALUATION,Expenses,Supplies,Inventory
3113,70247,RIU DSRIP CARE TRANS INVENTORY VAL ADJ,Expenses,Supplies,Inventory
1191,4485,Inventory Obsolescence,Inventory-Purchase Order Adjustments,Supplies,Inventory
3105,3408,Inventory Restock Charge,100 SUPPLIES,Supplies,Inventory
1227,903,Adjust To Inventory,Medical Supplies,Supplies,Inventory
3150,548,INV ADJ DOU,Not Specified,Supplies,Inventory
1137,7973,Patient Service Supplies-General Inventory,,Supplies,Inventory
3111,1524,INVENTORY CLEARING,SUPPLIES,Supplies - Chargeable Medical,Inventory
1137,7972,Patient Service Supplies-Cath Lab Inventory,Patient Care Supplies,Supplies - Chargeable Medical,Inventory
3171,657,Rent,Rent,Facilities - Rent,Lease and Rental Income
3119,135,LEASE INCOME,2_LEASE EXPENSE,Facilities - Rent,Lease and Rental Income
3126,3058,I/C NS BUILDING RENT,,Facilities - Rent,Lease and Rental Income
2980,324,Rent,Rent,Facilities - Rent,Lease and Rental Income
2980,41099,Rent,Rent,Facilities - Rent,Lease and Rental Income
2980,41100,Rent,Rent,Facilities - Rent,Lease and Rental Income
1157,1669,Advertising and Marketing,Other Direct Expenses,Other Expenses,Marketing
1137,974,Advertising,Other Expenses,Other Expenses,Marketing
1238,447,Employment Advertising,Other expenses,Other Expenses,Marketing
1650,2050,PROMOTIONAL ITEMS,MARKETING ADVERTISING,Other Expenses,Marketing
1650,2061,MKTG-DIRECT MAIL,MARKETING ADVERTISING,Other Expenses,Marketing
1650,2065,MKTG-MARKET RESEARCH,MARKETING ADVERTISING,Other Expenses,Marketing
1650,2076,MKTG-WEBSITE MAINT,MARKETING ADVERTISING,Other Expenses,Marketing
1885,1006,Advertising and promotions,Misc operating expenses,Other Expenses,Marketing
2706,3950,Production - Print,INDIRECT MARGIN,Other Expenses,Marketing
2717,163,Advertising,Other expenses,Other Expenses,Marketing
2724,3047,Promotional,ADVERTISING,Other Expenses,Marketing
2724,3048,Advertising,ADVERTISING,Other Expenses,Marketing
2724,3049,Advertising-Television,ADVERTISING,Other Expenses,Marketing
2724,3050,Advertising-Comm Health Ed,ADVERTISING,Other Expenses,Marketing
2724,3051,Advertising-Ault Health Min,ADVERTISING,Other Expenses,Marketing
2724,3052,Advertising-Yellow Pages,ADVERTISING,Other Expenses,Marketing
2724,3053,Advertising - Mkt,ADVERTISING,Other Expenses,Marketing
2724,3054,Advertising-Web Page,ADVERTISING,Other Expenses,Marketing
2724,3056,Advertising-Airport Signage,ADVERTISING,Other Expenses,Marketing
2724,3057,Advertising-Billboard,ADVERTISING,Other Expenses,Marketing
2724,3058,Advertising-Annual Report,ADVERTISING,Other Expenses,Marketing
2724,3061,Advertising-Health Talks,ADVERTISING,Other Expenses,Marketing
2724,3063,Logo Wear,ADVERTISING,Other Expenses,Marketing
2837,687,EMPLOYEE ADVERTISING,Other Expense,Other Expenses,Marketing
2962,1454,MARKETING,507200,Other Expenses,Marketing
2962,1455,MARKETING-SPIRIT OF WOMEN,507200,Other Expenses,Marketing
2962,1456,ADVERTISING,507200,Other Expenses,Marketing
2988,270,Advertising,30 - Services,Other Expenses,Marketing
2988,9372,Advertising and Marketing,Administrative Expense,Other Expenses,Marketing
2988,9373,Advertising and Marketing,Administrative Expense,Other Expenses,Marketing
2988,13613,Direct Mail,Other Expense,Other Expenses,Marketing
2990,1236,Misc Promotional,EOOTHFUND,Other Expenses,Marketing
2995,7592,Photography,Marketing,Other Expenses,Marketing
